|                JD|BandName|         FieldID| spw|      freq|      bw|           peak|              rms|
|            double|    char|            char|long|    double|  double|         double|           double|
|                  |        |                |    |          |        |               |                 |
|              null|    null|            null|null|      null|    null|           null|             null|
  58185.43138087963        Q       J1744-3116   37 42512.8158  16000.0  0.121470138431 0.000110452173271 
  58185.43138087963        Q "1331+305=3C286"   30 49536.9914 128000.0   1.18582582474  0.00148256741979 
  58185.43138087963        Q       J1733-1304   48 43837.8036 128000.0   1.13160514832 0.000835542644094 
  58185.43138087963        Q       J1744-3116   58 45064.8416 128000.0  0.129835829139 0.000170160965495 
  58185.43138087963        Q "1331+305=3C286"   43 43197.8036 128000.0   1.34537267685  0.00175537617382 
  58185.43138087963        Q       J1744-3116   15 47664.9041 128000.0   0.13680742681 0.000254768164678 
  58185.43138087963        Q "1331+305=3C286"   36 42557.8036 128000.0   1.37306761742  0.00110498359595 
  58185.43138087963        Q       J1733-1304   22 48640.9914 128000.0   1.11093866825  0.00110627729608 
  58185.43138087963        Q       J1744-3116   28 49280.9914 128000.0   0.11738011241 0.000564863844109 
  58185.43138087963        Q "1331+305=3C286"   49 44040.8416 128000.0   1.33056056499  0.00111073940006 
  58185.43138087963        Q       J1744-3116   17 48128.9914 128000.0  0.135422363877 0.000293615273238 
  58185.43138087963        Q       J1733-1304   39 42814.0075  16000.0   1.13619923592  0.00076918023248 
  58185.43138087963        Q       J1733-1304   58 45064.8416 128000.0   1.12663042545 0.000791102454249 
  58185.43138087963        Q "1331+305=3C286"   29 49408.9914 128000.0   1.19115543365  0.00149458449343 
  58185.43138087963        Q       J1733-1304   13 47408.9041 128000.0   1.11652052402 0.000902150378547 
  58185.43138087963        Q       J1744-3116   53 44424.8416 128000.0  0.127674087882 0.000136131440492 
  58185.43138087963        Q "1331+305=3C286"   46 43581.8036 128000.0   1.33827114105  0.00136211622812 
  58185.43138087963        Q "1331+305=3C286"   59 45192.8416 128000.0   1.30450928211  0.00113068732777 
  58185.43138087963        Q       J1744-3116   31 49664.9914 128000.0  0.104763746262 0.000612619108923 
  58185.43138087963        Q "1331+305=3C286"   52 44296.8416 128000.0   1.32934427261  0.00115261748109 
  58185.43138087963        Q       J1733-1304   36 42557.8036 128000.0   1.13718044758 0.000762143020441 
  58185.43138087963        Q       J1744-3116   46 43581.8036 128000.0  0.119981877506 0.000244777855041 
  58185.43138087963        Q "1331+305=3C286"    7 46640.9041 128000.0   1.25575864315  0.00109752978669 
  58185.43138087963        Q       J1733-1304   55 44680.8416 128000.0   1.12830078602 0.000833071377581 
  58185.43138087963        Q       J1744-3116   35 42429.8036 128000.0  0.120546676219 0.000112647346654 
  58185.43138087963        Q "1331+305=3C286"   16 47792.9041 128000.0   1.23073470592  0.00118938411247 
  58185.43138087963        Q       J1744-3116   48 43837.8036 128000.0  0.125518962741 0.000124200168862 
  58185.43138087963        Q "1331+305=3C286"   45 43417.1245  32000.0   1.34311687946  0.00108235145284 
  58185.43138087963        Q       J1733-1304   29 49408.9914 128000.0   1.10741770267  0.00124443872356 
  58185.43138087963        Q       J1744-3116    5 46384.9041 128000.0  0.134310975671 0.000190545077704 
  58185.43138087963        Q "1331+305=3C286"   62 45576.8416 128000.0   1.29082286358  0.00137177330947 
  58185.43138087963        Q       J1733-1304   16 47792.9041 128000.0   1.11518394947 0.000929507495184 
  58185.43138087963        Q       J1733-1304   46 43581.8036 128000.0   1.13262236118  0.00087933191368 
  58185.43138087963        Q "1331+305=3C286"    9 46896.9041 128000.0   1.25025689602   0.0011384319062 
  58185.43138087963        Q       J1733-1304   33 42173.8036 128000.0   1.10550761223  0.00134594012734 
  58185.43138087963        Q       J1744-3116   41 42941.8036 128000.0  0.107256151736 0.000349667322188 
  58185.43138087963        Q       J1733-1304   52 44296.8416 128000.0   1.13002419472 0.000828853836552 
  58185.43138087963        Q       J1744-3116   62 45576.8416 128000.0  0.127334356308 0.000263608916037 
  58185.43138087963        Q "1331+305=3C286"   23 48768.9914 128000.0   1.20538246632  0.00136783652978 
  58185.43138087963        Q       J1733-1304    7 46640.9041 128000.0   1.12001121044 0.000890606970938 
  58185.43138087963        Q       J1744-3116   51 44168.8416 128000.0  0.115360803902 0.000362722787991 
  58185.43138087963        Q "1331+305=3C286"   61 45427.6161  64000.0    1.2935693264  0.00113473065695 
  58185.43138087963        Q       J1744-3116   21 48512.9914 128000.0 0.0773691236973  0.00135132773455 
  58185.43138087963        Q       J1733-1304   43 43197.8036 128000.0   1.13389229774 0.000938707656805 
  58185.43138087963        Q "1331+305=3C286"   12 47280.9041 128000.0   1.24076104164  0.00115125586482 
  58185.43138087963        Q       J1733-1304   62 45576.8416 128000.0   1.12463951111 0.000869699481769 
  58185.43138087963        Q       J1744-3116   36 42557.8036 128000.0  0.120991885662 0.000104275390637 
  58185.43138087963        Q "1331+305=3C286"   25 49024.9914 128000.0   1.19966304302  0.00126937281266 
  58185.43138087963        Q       J1733-1304   49 44040.8416 128000.0   1.13102447987 0.000796369718779 
  58185.43138087963        Q       J1744-3116   57 44936.8416 128000.0  0.129201054573  0.00015334784971 
  58185.43138087963        Q "1331+305=3C286"   42 43115.4722  16000.0   1.35330891609  0.00108271346372 
